drug	type	atc
patiromer	small molecule	
mus musculus skin	biotech	
betaxolol	small molecule	C07AB05
anethole trithione	small molecule	A16AX02
human calcitonin	biotech	H05BA03
desflurane	small molecule	N01AB07
acetophenazine	small molecule	N05AB07
metipranolol	small molecule	C07BA68
nitrazepam	small molecule	N05CD02
levoleucovorin	small molecule	V03AF04
trastuzumab	biotech	L01XC03
evolocumab	biotech	C10AX13
olsalazine	small molecule	A07EC03
encainide	small molecule	C01BC08
samarium (153sm) lexidronam	small molecule	V10BX02
ecabet	small molecule	
procainamide	small molecule	C01BA02
levomefolic acid	small molecule	
prussian blue	small molecule	V03AB31
acetyldigitoxin	small molecule	C01AA01
ivabradine	small molecule	C01EB17
idelalisib	small molecule	L01XX47
acheta domesticus	biotech	
dalfampridine	small molecule	N07XX07
pantoprazole	small molecule	A02BC02
etomidate	small molecule	N01AX07
ertugliflozin	small molecule	
pidolic acid	small molecule	A12CC08
uridine triacetate	small molecule	
apremilast	small molecule	L04AA32
mackerel	biotech	
ketobemidone	small molecule	N02AG02
barley	biotech	
ichthammol	small molecule	
pipotiazine	small molecule	N05AC04
citalopram	small molecule	N06AB04
mipomersen	small molecule	C10AX11
methoxsalen	small molecule	D05AD02
glimepiride	small molecule	A10BB12
lincomycin	small molecule	J01FF02
casuarina equisetifolia pollen	biotech	
neurospora crassa	biotech	
vilanterol	small molecule	R03AK10
antihemophilic factor, human recombinant	biotech	B02BD02
cloperastine	small molecule	R05DB21
cetrimonium	small molecule	D11AC01
phenoxyethanol	small molecule	
pinus taeda pollen	biotech	
calcium gluconate	small molecule	D11AX03
nomegestrol acetate	small molecule	
methylscopolamine bromide	small molecule	
silver nitrate	small molecule	D08AL01
polyquaternium-10 (400 cps at 2%)	small molecule	
procarbazine	small molecule	L01XB01
zea mays pollen	biotech	
cloxazolam	small molecule	N05BA22
streptococcus pneumoniae type 7f capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
lumacaftor	small molecule	R07AX30
fesoterodine	small molecule	G04BD11
pivmecillinam	small molecule	J01CR50
protriptyline	small molecule	N06AA11
cholesterol	small molecule	
galsulfase	biotech	A16AB08
methylphenobarbital	small molecule	N03AA01
ledipasvir	small molecule	J05AX65
zuclopenthixol	small molecule	N05AF05
zinc	small molecule	C05AX04
pentobarbital	small molecule	N05CA01
rolitetracycline	small molecule	J01AA20
acacia	biotech	
oprelvekin	biotech	L03AC02
ethopropazine	small molecule	N04AA05
dupilumab	biotech	
bos taurus skin	biotech	
lomustine	small molecule	L01AD02
flurazepam	small molecule	N05CD01
lofexidine	small molecule	N07BC04
desloratadine	small molecule	R06AX27
lucanthone	small molecule	
eculizumab	biotech	L04AA25
betula papyrifera pollen	biotech	
human vaccinia virus immune globulin	biotech	
siltuximab	biotech	L04AC11
palifermin	biotech	V03AF08
pentoxyverine	small molecule	R05DB05
darifenacin	small molecule	G04BD10
oxyphenonium	small molecule	A03AB53
cinacalcet	small molecule	H05BX01
gefitinib	small molecule	L01XE02
prezatide	small molecule	
ethanol	small molecule	V03AB16
boron	small molecule	
secobarbital	small molecule	N05CA06
neisseria meningitidis group y capsular polysaccharide diphtheria toxoid conjugate antigen	biotech	
cefuroxime	small molecule	S01AA27
populus deltoides subsp. monilifera pollen	biotech	
dihydroergotamine	small molecule	N02CA01
influenza a virus a/brisbane/10/2010 (h1n1) antigen (mdck cell derived, propiolactone inactivated)	biotech	
amiloride	small molecule	C03DB01
phenelzine	small molecule	N06AF03
xylometazoline	small molecule	S01GA53
terbinafine	small molecule	D01BA02
hepatitis a vaccine	biotech	
rose bengal	small molecule	S01JA02
phenacemide	small molecule	N03AX07
clonidine	small molecule	S01EA04
ceftolozane	small molecule	J01DI54
etidocaine	small molecule	N01BB07
obeticholic acid	small molecule	A05AA04
quinidine	small molecule	C01BA01
sulfinpyrazone	small molecule	M04AB02
agalsidase beta	biotech	A16AB04
ascorbyl phosphate	small molecule	
bosentan	small molecule	C02KX01
iva angustifolia pollen	biotech	
ombitasvir	small molecule	J05AX67
technetium tc-99m nofetumomab merpentan	small molecule	
netarsudil	small molecule	
cocaine	small molecule	S01HA01
fimasartan	small molecule	C09CA10
trazodone	small molecule	N06AX05
sermorelin	biotech	V04CD03
elosulfase alfa	biotech	A16AB12
leucovorin	small molecule	V03AF06
flavin mononucleotide	small molecule	
doxofylline	small molecule	R03DA11
citrus sinensis pollen	biotech	
secnidazole	small molecule	P01AB07
fenoldopam	small molecule	C01CA19
arbekacin	small molecule	J01GB12
dactylis glomerata pollen	biotech	
broussonetia papyrifera pollen	biotech	
streptococcus pneumoniae type 7f capsular polysaccharide antigen	biotech	
reserpine	small molecule	C02LA51
calcium carbonate	small molecule	A11GB01
etizolam	small molecule	N05BA19
histrelin	small molecule	L02AE05
chlorthalidone	small molecule	C03BA04
streptococcus pneumoniae type 17f capsular polysaccharide antigen	biotech	
blueberry	biotech	
dihydralazine	small molecule	C02LG01
antithymocyte immunoglobulin (rabbit)	biotech	L04AA04
ciprofibrate	small molecule	C10AB08
sultamicillin	small molecule	J01CR04
prosopis juliflora pollen	biotech	
chlorpromazine	small molecule	N05AA01
flax seed	biotech	
streptococcus pneumoniae type 19a capsular polysaccharide antigen	biotech	
coagulation factor x human	biotech	B02BD13
artemisia absinthium pollen	biotech	
myrrh	small molecule	
pecan	biotech	
penciclovir	small molecule	D06BB06
propylene glycol	small molecule	
strontium ranelate	small molecule	M05BX03
puccinia striiformis var. striiformis	biotech	
fibrinogen human	biotech	B02BB01
rifampicin	small molecule	J04AM02
lucinactant	biotech	
hydroxyprogesterone caproate	small molecule	G03DA03
pancrelipase amylase	biotech	
tegaserod	small molecule	A06AX06
quercus virginiana pollen	biotech	
medrysone	small molecule	S01BA08
quercus palustris pollen	biotech	
sucrose	small molecule	
squash	biotech	
ticarcillin	small molecule	J01CR03
chlorzoxazone	small molecule	M03BB73
efmoroctocog alfa	biotech	
acetylcholine	small molecule	S01EB09
capsaicin	small molecule	M02AB01
juniperus ashei pollen	biotech	
daptomycin	small molecule	J01XX09
betula alleghaniensis pollen	biotech	
vinflunine	small molecule	L01CA05
ramucirumab	biotech	L01XC21
thrombomodulin alfa	biotech	
felis catus skin	biotech	
dronabinol	small molecule	A04AD10
quetiapine	small molecule	N05AH04
hydrogenated soybean oil	small molecule	
saxagliptin	small molecule	A10BH03
streptococcus pneumoniae type 10a capsular polysaccharide antigen	biotech	
streptococcus pneumoniae type 1 capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
fenofibric acid	small molecule	C10AB11
allantoin	small molecule	
erythrityl tetranitrate	small molecule	C01DA13
juglans californica pollen	biotech	
captopril	small molecule	C09AA01
candida albicans	biotech	
beta carotene	small molecule	A11CA02
propiomazine	small molecule	N05CM06
secale cereale pollen	biotech	
choline	small molecule	
rolapitant	small molecule	
factor xiii (human)	biotech	
tasonermin	biotech	L03AX11
nicoboxil	small molecule	
