ensg	n1tpm	medtpm
ENSG00000223972	1	0.06089
ENSG00000227232	53	11.59
ENSG00000243485	0	0.06389
ENSG00000237613	0	0.038015
ENSG00000268020	0	0.02885
ENSG00000240361	0	0.04268
ENSG00000186092	0	0.04955
ENSG00000238009	0	0.1202
ENSG00000233750	1	0.1497
ENSG00000237683	51	5.8895
ENSG00000268903	12	0.4966
ENSG00000239906	9	0.3737
ENSG00000241860	1	0.2732
ENSG00000222623	0	0
ENSG00000241599	0	0
ENSG00000228463	11	0.5319
ENSG00000237094	1	0.2092
ENSG00000250575	3	0.2204
ENSG00000233653	0	0.08693
ENSG00000224813	0	0
ENSG00000235249	0	0.041995
ENSG00000269732	0	0
ENSG00000256186	0	0
ENSG00000236601	0	0
ENSG00000236743	0	0.077195
ENSG00000236679	0	0.1928
ENSG00000231709	0	0.10445
ENSG00000235146	0	0.09756
ENSG00000239664	0	0
ENSG00000230021	0	0.07727
ENSG00000223659	0	0.0445
ENSG00000225972	53	10.64
ENSG00000225630	53	754.3
ENSG00000237973	53	54.78
ENSG00000229344	53	14.9
ENSG00000240409	53	16.95
ENSG00000248527	53	3499
ENSG00000198744	53	22.25
ENSG00000268663	0	0
ENSG00000185097	0	0.036225
ENSG00000229376	0	0.161
ENSG00000224956	53	4.874
ENSG00000235373	0	0.12185
ENSG00000223181	0	0
ENSG00000240618	0	0.3987
ENSG00000229905	0	0
ENSG00000228327	39	2.067
ENSG00000237491	11	0.6194
ENSG00000230092	22	0.876
ENSG00000269831	0	0
ENSG00000240453	0	0
ENSG00000177757	10	0.5759
ENSG00000225880	53	4.555
ENSG00000228794	52	6.016
ENSG00000230368	0	0.07616
ENSG00000234711	0	0.10995
ENSG00000269308	0	0
ENSG00000272438	5	0.3276
ENSG00000230699	3	0.2544
ENSG00000241180	0	0
ENSG00000223764	33	1.883
ENSG00000187634	40	3.896
ENSG00000268179	0	0
ENSG00000188976	53	55.1
ENSG00000187961	53	12.11
ENSG00000187583	21	0.6781
ENSG00000187642	15	0.4799
ENSG00000272512	48	3.002
ENSG00000188290	53	20.955
ENSG00000231702	7	0.5483
ENSG00000224969	3	0.35615
ENSG00000187608	53	35.84
ENSG00000188157	52	22.62
ENSG00000217801	29	1.4495
ENSG00000273443	1	0.17
ENSG00000237330	8	0.08258
ENSG00000131591	53	8.023
ENSG00000223823	1	0.08626
ENSG00000207730	2	0
ENSG00000207607	1	0
ENSG00000198976	7	0
ENSG00000272141	18	0.1165
ENSG00000205231	3	0.09442
ENSG00000162571	7	0.1848
ENSG00000186891	29	1.479
ENSG00000186827	39	2.018
ENSG00000078808	53	129.25
ENSG00000176022	53	13.48
ENSG00000184163	39	1.73
ENSG00000260179	4	0.5814
ENSG00000160087	53	25.31
ENSG00000230415	52	3.944
ENSG00000162572	53	8.611
ENSG00000131584	53	59.25
ENSG00000169972	53	13.945
